audio_0001|Again.,,,
audio_0002|Alert.,,,
audio_0003|All clear.,,,
audio_0004|Always!,,,
audio_0005|Apple slice, please.,,
audio_0006|Approved!,,,
audio_0007|Area secure.,,,
audio_0008|Balcony clear.,,,
audio_0009|Bananas.,,,
audio_0010|Battery ready.,,,
audio_0011|Be gentle.,,,
audio_0012|Berry, please.,,
audio_0013|Black feathers.,,,
audio_0014|Blue feathers.,,,
audio_0015|Brave bird!,,,
audio_0016|Bravo.,,,
audio_0017|Brilliant,,,
audio_0018|Button ready.,,,
audio_0019|Camera ready.,,,
audio_0020|Careful,,,
audio_0021|Certainly!,,,
audio_0022|Cracker,,,
audio_0023|Cracker, please.,,
audio_0024|Curious bird!,,,
audio_0025|Curious today.,,,
audio_0026|Denied.,,,
audio_0027|Desk clear.,,,
audio_0028|Excellent,,,
audio_0029|Faster.,,,
audio_0030|Feathers.,,,
audio_0031|Flutter faster!,,,
audio_0032|Flutter now.,,,
audio_0033|Flutter slowly.,,,
audio_0034|Garage clear.,,,
audio_0035|Garden clear.,,,
audio_0036|Gentle bird!,,,
audio_0037|Glide faster!,,,
audio_0038|Glide now.,,,
audio_0039|Glide slowly.,,,
audio_0040|Go!,,,
audio_0041|Golden feathers.,,,
audio_0042|Good bird.,,,
audio_0043|Grape, please.,,
audio_0044|Grumpy today.,,,
audio_0045|Hallway clear.,,,
audio_0046|Hello,,,
audio_0047|Hey.,,,
audio_0048|Hi.,,,
audio_0049|Hinge ready.,,,
audio_0050|Hold tight.,,,
audio_0051|Hooray!,,,
audio_0052|Hover faster!,,,
audio_0053|Hover now.,,,
audio_0054|Hover slowly.,,,
audio_0055|Hungry,,,
audio_0056|Incoming,,,
audio_0057|Indeed.,,,
audio_0058|Keep watching.,,,
audio_0059|Kitchen clear.,,,
audio_0060|Landing,,,
audio_0061|Lever ready.,,,
audio_0062|Listen.,,,
audio_0063|Look.,,,
audio_0064|Louder.,,,
audio_0065|Maybe.,,,
audio_0066|Mind feathers.,,,
audio_0067|Mission done.,,,
audio_0068|Mission start.,,,
audio_0069|Murmur faster!,,,
audio_0070|Murmur now.,,,
audio_0071|Murmur slowly.,,,
audio_0072|Nervous today.,,,
audio_0073|Never,,,
audio_0074|Nice landing.,,,
audio_0075|Noisy bird!,,,
audio_0076|Not bad.,,,
audio_0077|Oops,,,
audio_0078|Orange feathers.,,,
audio_0079|Peanut, please.,,
audio_0080|Peck faster!,,,
audio_0081|Peck now.,,,
audio_0082|Peck slowly.,,,
audio_0083|Perch,,,
audio_0084|Perch ready.,,,
audio_0085|Playful today.,,,
audio_0086|Quiet.,,,
audio_0087|Ready,,,
audio_0088|Red feathers.,,,
audio_0089|Rice cake, please.,,
audio_0090|Screw ready.,,,
audio_0091|Seeds,,,
audio_0092|Shiny!,,,
audio_0093|Shuffle faster!,,,
audio_0094|Shuffle now.,,,
audio_0095|Shuffle slowly.,,,
audio_0096|Signal.,,,
audio_0097|Silver feathers.,,,
audio_0098|Sleepy bird!,,,
audio_0099|Sleepy today.,,,
audio_0100|Softer.,,,
audio_0101|Sorry,,,
audio_0102|Sparkles.,,,
audio_0103|Sparkly bird!,,,
audio_0104|Stay still.,,,
audio_0105|Steady!,,,
audio_0106|Stop,,,
audio_0107|Surprised today.,,,
audio_0108|Switch ready.,,,
audio_0109|System ready.,,,
audio_0110|Takeoff.,,,
audio_0111|Tiny bird!,,,
audio_0112|Too noisy.,,,
audio_0113|Try again.,,,
audio_0114|Twirl faster!,,,
audio_0115|Twirl now.,,,
audio_0116|Twirl slowly.,,,
audio_0117|Very cheeky.,,,
audio_0118|Very clever.,,,
audio_0119|Very curious.,,,
audio_0120|Very gentle.,,,
audio_0121|Very mighty.,,,
audio_0122|Very noisy.,,,
audio_0123|Very sleepy.,,,
audio_0124|Very sparkly.,,,
audio_0125|Very tiny.,,,
audio_0126|Waffles!,,,
audio_0127|Wait.,,,
audio_0128|Warning!,,,
audio_0129|Water,,,
audio_0130|Well done!,,,
audio_0131|Whistle faster!,,,
audio_0132|Whistle slowly.,,,
audio_0133|White feathers.,,,
audio_0134|Window clear.,,,
audio_0135|Wobble now.,,,
audio_0136|Wobble slowly.,,,
audio_0137|Wonderful.,,,
audio_0138|Workshop clear.,,,
audio_0139|Zoom faster!,,,
audio_0140|Zoom slowly.,,,
audio_0141|Alex left the button open.,,,
audio_0142|Alex left the feather open.,,,
audio_0143|Alex left the screw open.,,,
audio_0144|Alex left the sensor open.,,,
audio_0145|Alex left the switch open.,,,
audio_0146|Avery left the button open.,,,
audio_0147|Avery left the feather open.,,,
audio_0148|Avery left the perch open.,,,
audio_0149|Avery left the screw open.,,,
audio_0150|Avery left the sensor open.,,,
audio_0151|Avery left the switch open.,,,
audio_0152|Casey left the battery open.,,,
audio_0153|Casey left the button open.,,,
audio_0154|Casey left the lever open.,,,
audio_0155|Casey left the perch open.,,,
audio_0156|Casey left the screw open.,,,
audio_0157|Charge the battery.,,,
audio_0158|Check the sensor.,,,
audio_0159|Close the curtain.,,,
audio_0160|Do not touch the battery.,,,
audio_0161|Do not touch the button.,,,
audio_0162|Do not touch the camera.,,,
audio_0163|Do not touch the feather.,,,
audio_0164|Do not touch the hinge.,,,
audio_0165|Do not touch the lever.,,,
audio_0166|Do not touch the screw.,,,
audio_0167|Do not touch the sensor.,,,
audio_0168|Do not touch the switch.,,,
audio_0169|Fluff the feathers.,,,
audio_0170|I can hear the kettle.,,,
audio_0171|I can see the balcony.,,,
audio_0172|I can see the bookshelf.,,,
audio_0173|I can see the desk.,,,
audio_0174|I can see the garage.,,,
audio_0175|I can see the garden.,,,
audio_0176|I can see the hallway.,,,
audio_0177|I can see the kitchen.,,,
audio_0178|I can see the rooftop.,,,
audio_0179|I can see the window.,,,
audio_0180|I can see the workshop.,,,
audio_0181|I found a brave camera.,,,
audio_0182|I found a brave hinge.,,,
audio_0183|I found a brave lever.,,,
audio_0184|I found a brave switch.,,,
audio_0185|I found a cheeky battery.,,,
audio_0186|I found a cheeky button.,,,
audio_0187|I found a cheeky camera.,,,
audio_0188|I found a cheeky hinge.,,,
audio_0189|I found a cheeky lever.,,,
audio_0190|I found a cheeky perch.,,,
audio_0191|I found a cheeky screw.,,,
audio_0192|I found a cheeky switch.,,,
audio_0193|I found a clever battery.,,,
audio_0194|I found a clever button.,,,
audio_0195|I found a clever feather.,,,
audio_0196|I found a clever perch.,,,
audio_0197|I found a clever screw.,,,
audio_0198|I found a clever sensor.,,,
audio_0199|I found a curious button.,,,
audio_0200|I found a curious camera.,,,
audio_0201|I found a curious feather.,,,
audio_0202|I found a curious hinge.,,,
audio_0203|I found a curious lever.,,,
audio_0204|I found a curious screw.,,,
audio_0205|I found a curious switch.,,,
audio_0206|I found a gentle button.,,,
audio_0207|I found a gentle sensor.,,,
audio_0208|I found a mighty battery.,,,
audio_0209|I found a mighty screw.,,,
audio_0210|I found a noisy battery.,,,
audio_0211|I found a noisy button.,,,
audio_0212|I found a noisy hinge.,,,
audio_0213|I found a noisy perch.,,,
audio_0214|I found a noisy screw.,,,
audio_0215|I found a noisy switch.,,,
audio_0216|I found a sleepy battery.,,,
audio_0217|I found a sleepy button.,,,
audio_0218|I found a sleepy feather.,,,
audio_0219|I found a sleepy lever.,,,
audio_0220|I found a sleepy screw.,,,
audio_0221|I found a sparkly battery.,,,
audio_0222|I found a sparkly button.,,,
audio_0223|I found a sparkly camera.,,,
audio_0224|I found a sparkly lever.,,,
audio_0225|I found a sparkly perch.,,,
audio_0226|I found a sparkly switch.,,,
audio_0227|I found a tiny switch.,,,
audio_0228|I hear footsteps.,,,
audio_0229|I smell fresh coffee.,,,
audio_0230|I would like more water.,,,
audio_0231|Jamie left the perch open.,,,
audio_0232|Jamie left the sensor open.,,,
audio_0233|Jordan left the button open.,,,
audio_0234|Jordan left the camera open.,,,
audio_0235|Jordan left the feather open.,,,
audio_0236|Jordan left the perch open.,,,
audio_0237|Jordan left the screw open.,,,
audio_0238|Jordan left the sensor open.,,,
audio_0239|Keep the battery steady.,,,
audio_0240|Keep the button steady.,,,
audio_0241|Keep the camera steady.,,,
audio_0242|Keep the feather steady.,,,
audio_0243|Keep the hinge steady.,,,
audio_0244|Keep the lever steady.,,,
audio_0245|Keep the perch steady.,,,
audio_0246|Keep the sensor steady.,,,
audio_0247|Keep the switch steady.,,,
audio_0248|Keep your balance.,,,
audio_0249|Maya left the button open.,,,
audio_0250|Maya left the hinge open.,,,
audio_0251|Maya left the sensor open.,,,
audio_0252|Maya left the switch open.,,,
audio_0253|Mind the feathers!,,,
audio_0254|Morgan left the battery open.,,,
audio_0255|Morgan left the camera open.,,,
audio_0256|Morgan left the sensor open.,,,
audio_0257|Morgan left the switch open.,,,
audio_0258|My beak feels itchy.,,,
audio_0259|My feathers feel brave today.,,,
audio_0260|My feathers feel cheeky today.,,,
audio_0261|My feathers feel clever today.,,,
audio_0262|My feathers feel curious today.,,,
audio_0263|My feathers feel gentle today.,,,
audio_0264|My feathers feel mighty today.,,,
audio_0265|My feathers feel noisy today.,,,
audio_0266|My feathers feel sleepy today.,,,
audio_0267|My feathers feel sparkly today.,,,
audio_0268|My feathers feel tiny today.,,,
audio_0269|Open the window.,,,
audio_0270|Pass the biscuit.,,,
audio_0271|Please bring almond.,,,
audio_0272|Please bring apple slice.,,,
audio_0273|Please bring berry.,,,
audio_0274|Please bring biscuit.,,,
audio_0275|Please bring cracker.,,,
audio_0276|Please bring grape.,,,
audio_0277|Please bring peanut.,,,
audio_0278|Please bring rice cake.,,,
audio_0279|Please bring sunflower seed.,,,
audio_0280|Please check the black cable.,,,
audio_0281|Please check the blue cable.,,,
audio_0282|Please check the golden cable.,,,
audio_0283|Please check the green cable.,,,
audio_0284|Please check the orange cable.,,,
audio_0285|Please check the red cable.,,,
audio_0286|Please check the silver cable.,,,
audio_0287|Please check the white cable.,,,
audio_0288|Please check the yellow cable.,,,
audio_0289|Please open the snack box.,,,
audio_0290|Polly wants a cracker.,,,
audio_0291|Riley left the camera open.,,,
audio_0292|Riley left the perch open.,,,
audio_0293|Riley left the screw open.,,,
audio_0294|Sam left the battery open.,,,
audio_0295|Sam left the feather open.,,,
audio_0296|Sam left the sensor open.,,,
audio_0297|Sam left the switch open.,,,
audio_0298|Someone is at the door.,,,
audio_0299|Taylor left the perch open.,,,
audio_0300|That looks shiny.,,,
audio_0301|That was a brave landing.,,,
audio_0302|That was a cheeky landing.,,,
audio_0303|That was a clever landing.,,,
audio_0304|That was a curious landing.,,,
audio_0305|That was a gentle landing.,,,
audio_0306|That was a mighty landing.,,,
audio_0307|That was a noisy landing.,,,
audio_0308|That was a sleepy landing.,,,
audio_0309|That was a sparkly landing.,,,
audio_0310|That was a tiny landing.,,,
audio_0311|The balcony feels quiet.,,,
audio_0312|The black light is blinking.,,,
audio_0313|The blue light is blinking.,,,
audio_0314|The bookshelf feels quiet.,,,
audio_0315|The camera is loose.,,,
audio_0316|The desk feels quiet.,,,
audio_0317|The drizzle is getting stronger.,,,
audio_0318|The feather is loose.,,,
audio_0319|The fog is getting stronger.,,,
audio_0320|The garage feels quiet.,,,
audio_0321|The garden feels quiet.,,,
audio_0322|The golden light is blinking.,,,
audio_0323|The green light is blinking.,,,
audio_0324|The hail is getting stronger.,,,
audio_0325|The hallway feels quiet.,,,
audio_0326|The hallway is clear.,,,
audio_0327|The hinge is loose.,,,
audio_0328|The kitchen feels quiet.,,,
audio_0329|The landing was smooth.,,,
audio_0330|The lever is loose.,,,
audio_0331|The mist is getting stronger.,,,
audio_0332|The perch is loose.,,,
audio_0333|The purple light is blinking.,,,
audio_0334|The rain is getting stronger.,,,
audio_0335|The red light is blinking.,,,
audio_0336|The sensor is loose.,,,
audio_0337|The silver light is blinking.,,,
audio_0338|The sky looks bright.,,,
audio_0339|The snow is getting stronger.,,,
audio_0340|The sunshine is getting stronger.,,,
audio_0341|The switch is loose.,,,
audio_0342|The table looks too high.,,,
audio_0343|The thunder is getting stronger.,,,
audio_0344|The white light is blinking.,,,
audio_0345|The wind is getting stronger.,,,
audio_0346|The window feels quiet.,,,
audio_0347|The workshop feels quiet.,,,
audio_0348|The yellow light is blinking.,,,
audio_0349|There is dust on the battery.,,,
audio_0350|There is dust on the button.,,,
audio_0351|There is dust on the camera.,,,
audio_0352|There is dust on the feather.,,,
audio_0353|There is dust on the hinge.,,,
audio_0354|There is dust on the lever.,,,
audio_0355|There is dust on the perch.,,,
audio_0356|There is dust on the screw.,,,
